LP	Nr produktu 1	Nr produktu 2	Grupa	Nazwa produktu	Producent	Cena netto	Cena brutto
50	OPR.147133	61032137	LM	angelo futuro l1796 blue 	ANGELO FUTURO 	195	237,9
51	OPR.147858	61037758	LM	hera & luna hl2774 col.2 	HERA & LUNA 	263,64	321,6408
52	OPR.147860	61037772	LM	hera & luna hl026 col.1 	HERA & LUNA 	172,38	210,3036
53	OPR.147862	61037786	LM	hera & luna hl026 col.3 	HERA & LUNA 	184,86	225,5292
54	OPR.147864	61037800	LM	hera & luna hl1814 col.2 	HERA & LUNA 	281,58	343,5276
55	OPR.148184	61040110	LM	angelo futuro a608 col.29 	ANGELO FUTURO 	199,68	243,6096
56	OPR.148185	61040117	LM	angelo futuro a608 col.30 	ANGELO FUTURO 	290,16	353,9952
57	OPR.148196	61040194	LM	angelo futuro a619 col.63 	ANGELO FUTURO 	236,34	288,3348
58	OPR.148197	61040201	LM	angelo futuro a619 col.64 	ANGELO FUTURO 	253,5	309,27
59	OPR.148198	61040208	LM	angelo futuro a619 col.65 	ANGELO FUTURO 	170,04	207,4488
60	OPR.148200	61040222	LM	angelo futuro a611 col.36 	ANGELO FUTURO 	124,02	151,3044
61	OPR.148204	61040250	LM	angelo futuro a618 col.61 	ANGELO FUTURO 	297,96	363,5112
62	OPR.148230	61040432	LM	hera & luna hl121 col.51 	HERA & LUNA 	190,32	232,1904
63	OPR.148231	61040439	LM	hera & luna hl121 col.052 	HERA & LUNA 	105,3	128,466
64	OPR.148232	61040446	LM	HERA & LUNA HL121 COL.053 	HERA & LUNA 	89,7	109,434
65	OPR.148285	61040817	LM	angelo futuro a614 col.43 	ANGELO FUTURO 	258,18	314,9796
66	OPR.148286	61040824	LM	angelo futuro a614 col.44 	ANGELO FUTURO 	164,58	200,7876
67	OPR.148287	61040831	LM	angelo futuro a614 col.45 	ANGELO FUTURO 	106,08	129,4176
68	OPR.148290	61040852	LM	angelo futuro a617 col.59 	ANGELO FUTURO 	269,1	328,302
69	OPR.148291	61040859	LM	ANGELO FUTURO A617 COL.60 	ANGELO FUTURO 	60,84	74,2248
70	OPR.148292	61040866	LM	angelo futuro af2827 col.1 	ANGELO FUTURO 	101,4	123,708
71	OPR.149533	61049588	LM	HERA & LUNA HLF701 COL.1 	HERA & LUNA 	89,7	109,434
72	OPR.149534	61049595	LM	hera & luna hlf701 col.2 	HERA & LUNA 	101,4	123,708
73	OPR.149535	61049602	LM	hera & luna hlf701 col.3 	HERA & LUNA 	175,5	214,11
74	OPR.149537	61049616	LM	HERA & LUNA HLF702 COL.2 	HERA & LUNA 	78	95,16
75	OPR.149538	61049623	LM	HERA & LUNA HLF702 COL.9 	HERA & LUNA 	74,88	91,3536
76	OPR.149539	61049630	LM	hera & luna hlf703 col.1 	HERA & LUNA 	129,48	157,9656
77	OPR.149540	61049637	LM	HERA & LUNA HLF703 COL.2 	HERA & LUNA 	56,94	69,4668
78	OPR.149541	61049644	LM	hera & luna hlf703 col.3 	HERA & LUNA 	290,16	353,9952
79	OPR.149798	61051506	LM	HERA & LUNA HL708 COL.1 	HERA & LUNA 	63,18	77,0796
80	OPR.149799	61051513	LM	hera & luna hl708 col.2 	HERA & LUNA 	151,32	184,6104
81	OPR.149801	61051527	LM	hera & luna hl710 col.1 	HERA & LUNA 	240,24	293,0928
82	OPR.149802	61051534	LM	hera & luna hl710 col.2 	HERA & LUNA 	222,3	271,206
83	OPR.149804	61051548	LM	hera & luna hl711 col.1 	HERA & LUNA 	113,1	137,982
84	OPR.149805	61051555	LM	HERA & LUNA HL711 COL.2 	HERA & LUNA 	36,66	44,7252
85	OPR.149806	61051562	LM	HERA & LUNA HL0711 COL.3 	HERA & LUNA 	61,62	75,1764
86	OPR.149807	61051569	LM	hera & luna hl712 col.1 	HERA & LUNA 	187,2	228,384
87	OPR.149808	61051576	LM	HERA & LUNA HL712 COL.2 	HERA & LUNA 	81,9	99,918
88	OPR.149809	61051583	LM	hera & luna hl712 col.3 	HERA & LUNA 	269,1	328,302
89	OPR.149810	61051590	LM	hera & luna hl713 col.1 	HERA & LUNA 	285,48	348,2856
90	OPR.149811	61051597	LM	hera & luna hl713 col.2 	HERA & LUNA 	300,3	366,366
91	OPR.150077	61053459	LM	angelo futuro afa616 col.57 	ANGELO FUTURO 	120,12	146,5464
92	OPR.150083	61053501	LM	ANGELO FUTURO AFA625 COL.84 	ANGELO FUTURO 	85,8	104,676
93	OPR.150084	61053508	LM	ANGELO FUTURO AFA625 COL.85 	ANGELO FUTURO 	36,66	44,7252
94	OPR.150085	61053515	LM	angelo futuro afa625 col.86 	ANGELO FUTURO 	217,62	265,4964
95	OPR.150090	61053550	LM	ANGELO FUTURO AFT710 COL.3 	ANGELO FUTURO 	63,18	77,0796
96	OPR.150093	61053571	LM	ANGELO FUTURO AFT712 COL.1 	ANGELO FUTURO 	70,98	86,5956
97	OPR.150094	61053578	LM	ANGELO FUTURO AFT712 COL.2 	ANGELO FUTURO 	42,9	52,338
98	OPR.150471	61056245	LM	angelo futuro aft720 col.1 	ANGELO FUTURO 	309,66	377,7852
99	OPR.150472	61056252	LM	angelo futuro aft720 col.2 	ANGELO FUTURO 	195,78	238,8516
100	OPR.150473	61056259	LM	ANGELO FUTURO AFT720 COL.3 	ANGELO FUTURO 	85,02	103,7244
101	OPR.150489	61056371	LM	hera & luna hl717 col.2 	HERA & LUNA 	184,08	224,5776
102	OPR.150490	61056378	LM	hera & luna hl703 col.1 	HERA & LUNA 	214,5	261,69
103	OPR.150491	61056385	LM	hera & luna hl703 col.2 	HERA & LUNA 	234	285,48
104	OPR.150492	61056392	LM	hera & luna hl703 col.3 	HERA & LUNA 	288,6	352,092
105	OPR.150493	61056399	LM	hera & luna hl704 col.2 	HERA & LUNA 	273	333,06
106	OPR.150525	61056623	LM	hera & luna hl704 col.1 	HERA & LUNA 	118,56	144,6432
107	OPR.150652	61057512	LM	angelo futuro aft705 col.1 	ANGELO FUTURO 	131,82	160,8204
108	OPR.150653	61057519	LM	angelo futuro aft705 col.3 	ANGELO FUTURO 	183,3	223,626
109	OPR.150657	61057547	LM	angelo futuro aft709 col.1 	ANGELO FUTURO 	209,82	255,9804
110	OPR.150659	61057561	LM	angelo futuro aft701 col.1 	ANGELO FUTURO 	285,48	348,2856
111	OPR.150664	61057596	LM	angelo futuro aft703 col.1 	ANGELO FUTURO 	114,66	139,8852
112	OPR.150667	61057617	LM	angelo futuro aft704 col.1 	ANGELO FUTURO 	278,46	339,7212
113	OPR.150673	61057659	LM	angelo futuro aft706 col.2 	ANGELO FUTURO 	137,28	167,4816
114	OPR.150679	61057701	LM	angelo futuro aft707 col.2 	ANGELO FUTURO 	146,64	178,9008
115	OPR.150681	61057715	LM	hera & luna hl715 col.1 	HERA & LUNA 	101,4	123,708
116	OPR.150682	61057722	LM	hera & luna hl715 col.2 	HERA & LUNA 	113,88	138,9336
117	OPR.150683	61057729	LM	HERA & LUNA HL715 COL.3 	HERA & LUNA 	31,98	39,0156
118	OPR.150684	61057736	LM	hera & luna hl701 col.1 	HERA & LUNA 	169,26	206,4972
119	OPR.150685	61057743	LM	hera & luna hl701 col.2 	HERA & LUNA 	126,36	154,1592
120	OPR.150686	61057750	LM	hera & luna hl701 col.3 	HERA & LUNA 	223,86	273,1092
121	OPR.150687	61057757	LM	hera & luna hl706 col.1 	HERA & LUNA 	107,64	131,3208
122	OPR.150688	61057764	LM	HERA & LUNA HL706 COL.2 	HERA & LUNA 	37,44	45,6768
123	OPR.150690	61057778	LM	hera & luna hl705 col.1 	HERA & LUNA 	120,9	147,498
124	OPR.150691	61057785	LM	hera & luna hl705 col.2 	HERA & LUNA 	262,86	320,6892
125	OPR.150692	61057792	LM	HERA & LUNA HL705 COL.3 	HERA & LUNA 	66,3	80,886
126	OPR.150694	61057806	LM	hera & luna hl702 col.2 	HERA & LUNA 	216,84	264,5448
127	OPR.150695	61057813	LM	hera & luna hl707 col.1 	HERA & LUNA 	287,82	351,1404
128	OPR.150696	61057820	LM	hera & luna hl707 col.2 	HERA & LUNA 	116,22	141,7884
129	OPR.150697	61057827	LM	hera & luna hl707 col.3 	HERA & LUNA 	275,34	335,9148
130	OPR.150959	61059766	LM	hera & luna hl0710 col.1 	HERA & LUNA 	239,46	292,1412
131	OPR.150962	61059787	LM	hera & luna hl0717 col.1 	HERA & LUNA 	141,18	172,2396
132	OPR.150963	61059794	LM	hera & luna hl0717 col.2 	HERA & LUNA 	173,16	211,2552
133	OPR.150966	61059815	LM	hera & luna hl0705 col.2 	HERA & LUNA 	265,2	323,544
134	OPR.150968	61059829	LM	hera & luna hl0706 col.2 	HERA & LUNA 	100,62	122,7564
135	OPR.150969	61059836	LM	hera & luna hl3517 col.1 	HERA & LUNA 	177,84	216,9648
136	OPR.150974	61059871	LM	hera & luna hl7008 col.2 	HERA & LUNA 	309,66	377,7852
137	OPR.150981	61059920	LM	HERA & LUNA HL4471C COL.6 	HERA & LUNA 	35,1	42,822
138	OPR.150983	61059934	LM	hera & luna hl7011 col.2 	HERA & LUNA 	176,28	215,0616
139	OPR.150985	61059948	LM	HERA & LUNA HL7001 COL.1 	HERA & LUNA 	68,64	83,7408
140	OPR.150986	61059955	LM	hera & luna hl7001 col.3 	HERA & LUNA 	283,14	345,4308
141	OPR.150987	61059962	LM	hera & luna hl7003 col.1 	HERA & LUNA 	274,56	334,9632
142	OPR.150988	61059969	LM	HERA & LUNA HL7003 COL.2 	HERA & LUNA 	98,28	119,9016
143	OPR.150989	61059976	LM	hera & luna hl7003 col.3 	HERA & LUNA 	122,46	149,4012
144	OPR.150990	61059983	LM	hera & luna hl0812 col.1 	HERA & LUNA 	195,78	238,8516
145	OPR.150991	61059990	LM	HERA & LUNA HL0812 COL.3 	HERA & LUNA 	63,18	77,0796
146	OPR.150992	61059997	LM	hera & luna hl0812 col.4 	HERA & LUNA 	213,72	260,7384
147	OPR.151530	61066710	LM	angelo futuro af0888 col.1 	ANGELO FUTURO 	217,62	265,4964
148	OPR.151535	61066745	LM	angelo futuro af0885 col.1 	ANGELO FUTURO 	294,06	358,7532
149	OPR.151555	61066885	LM	hera & luna hl0812 col.3 	HERA & LUNA 	284,7	347,334
150	OPR.151569	61066983	LM	hera & luna hl7009 col.1 	HERA & LUNA 	204,36	249,3192
151	OPR.151570	61066990	LM	HERA & LUNA HL7009 COL.2 	HERA & LUNA 	61,62	75,1764
152	OPR.151571	61066997	LM	HERA & LUNA HL0714 COL.1 	HERA & LUNA 	70,2	85,644
153	OPR.151572	61067004	LM	hera & luna hl0714 col.2 	HERA & LUNA 	301,86	368,2692
154	OPR.151573	61067011	LM	hera & luna hl0714 col.3 	HERA & LUNA 	154,44	188,4168
155	OPR.151575	61067025	LM	HERA & LUNA HL0771 COL.2 	HERA & LUNA 	83,46	101,8212
156	OPR.152069	61074165	LM	ANGELO FUTURO AF879 COL.1 	ANGELO FUTURO 	60,84	74,2248
157	OPR.152097	61074361	LM	angelo futuro aft702 col.3 	ANGELO FUTURO 	233,22	284,5284
158	OPR.152122	61074536	LM	hera & luna hl2 m11 	HERA & LUNA 	174,72	213,1584
159	OPR.152124	61074550	LM	hera & luna hl3 m23 	HERA & LUNA 	309,66	377,7852
160	OPR.152125	61074557	LM	HERA & LUNA HL3 M26 	HERA & LUNA 	88,92	108,4824
161	OPR.152127	61074571	LM	HERA & LUNA HL4 M26 	HERA & LUNA 	67,86	82,7892
162	OPR.152129	61074585	LM	hera & luna hl678 col.1 	HERA & LUNA 	218,4	266,448
163	OPR.152130	61074592	LM	hera & luna hl678 col.2 	HERA & LUNA 	134,94	164,6268
164	OPR.152135	61074627	LM	hera & luna hl727 col.3 	HERA & LUNA 	203,58	248,3676
165	OPR.152138	61074648	LM	hera & luna hl3404 col.2 	HERA & LUNA 	159,9	195,078
166	OPR.152139	61074655	LM	hera & luna hl3404 col.3 	HERA & LUNA 	174,72	213,1584
167	OPR.152140	61074662	LM	HERA & LUNA HL7002 COL.1 	HERA & LUNA 	50,7	61,854
168	OPR.152141	61074669	LM	hera & luna hl7002 col.2 	HERA & LUNA 	254,28	310,2216
169	OPR.152143	61074683	LM	hera & luna hl7005 col.1 	HERA & LUNA 	300,3	366,366
170	OPR.152144	61074690	LM	HERA & LUNA HL7005 COL.2 	HERA & LUNA 	38,22	46,6284
171	OPR.152146	61074704	LM	hera & luna hl7007 col.2 	HERA & LUNA 	270,66	330,2052
172	OPR.152148	61074718	LM	HERA & LUNA HL7010 COL.1 	HERA & LUNA 	95,16	116,0952
173	OPR.152149	61074725	LM	HERA & LUNA HL7010 COL.2 	HERA & LUNA 	90,48	110,3856
174	OPR.152150	61074732	LM	hera & luna hl7010 col.3 	HERA & LUNA 	304,98	372,0756
175	OPR.152152	61074746	LM	hera & luna hlf709 col.2 	HERA & LUNA 	213,72	260,7384
176	OPR.153005	61084091	LM	angelo futuro af0892 col.1 	ANGELO FUTURO 	237,12	289,2864
177	OPR.153009	61084119	LM	hera & luna hl0511m col.4 	HERA & LUNA 	137,28	167,4816
178	OPR.153094	61084903	LM	angelo futuro a2505 col.4 	ANGELO FUTURO 	304,2	371,124
179	OPR.153095	61084910	LM	angelo futuro a2505 col.5 	ANGELO FUTURO 	166,14	202,6908
180	OPR.153100	61084945	LM	angelo futuro af0880 col.1 	ANGELO FUTURO 	186,42	227,4324
181	OPR.153428	61087353	LM	angelo futuro af0001 col.m6 	ANGELO FUTURO 	128,7	157,014
182	OPR.153442	61087451	LM	angelo futuro af0002 col.m26 	ANGELO FUTURO 	152,1	185,562
183	OPR.153449	61087500	LM	angelo futuro sedal col.3 	ANGELO FUTURO 	209,04	255,0288
184	OPR.153466	61087619	LM	ANGELO FUTURO MRS005 COL.1 	ANGELO FUTURO 	37,44	45,6768
185	OPR.153473	61087668	LM	hera & luna hl2774 col.4 	HERA & LUNA 	106,86	130,3692
186	OPR.153474	61087675	LM	hera & luna hl2774 col.5 	HERA & LUNA 	247,26	301,6572
187	OPR.153490	61087787	LM	angelo futuro af9999 col.15 	ANGELO FUTURO 	104,52	127,5144
188	OPR.153497	61087836	LM	hera & luna hl751 col.52 	HERA & LUNA 	275,34	335,9148
189	OPR.153498	61087843	LM	hera & luna hl751 col.53 	HERA & LUNA 	262,08	319,7376
190	OPR.153499	61087850	LM	hera & luna hl752 col.58 	HERA & LUNA 	102,18	124,6596
191	OPR.153500	61087857	LM	hera & luna hl752 col.59 	HERA & LUNA 	187,2	228,384
192	OPR.153504	61087885	LM	hera & luna hl753 col.67 	HERA & LUNA 	196,56	239,8032
193	OPR.153505	61087892	LM	hera & luna hl754 col.11 	HERA & LUNA 	240,24	293,0928
194	OPR.153506	61087899	LM	hera & luna hl754 col.54 	HERA & LUNA 	154,44	188,4168
195	OPR.153507	61087906	LM	hera & luna hl754 col.55 	HERA & LUNA 	222,3	271,206
196	OPR.153509	61087920	LM	hera & luna hl755 col.52 	HERA & LUNA 	255,84	312,1248
197	OPR.153510	61087927	LM	hera & luna hl755 col.56 	HERA & LUNA 	294,84	359,7048
198	OPR.153514	61087955	LM	hera & luna hl0757 col.68 	HERA & LUNA 	211,38	257,8836
199	OPR.153515	61087962	LM	hera & luna hl758 col.54 	HERA & LUNA 	252,72	308,3184
200	OPR.153516	61087969	LM	HERA & LUNA HL758 COL.56 	HERA & LUNA 	37,44	45,6768
201	OPR.153517	61087976	LM	hera & luna hl758 col.57 	HERA & LUNA 	284,7	347,334
202	OPR.153519	61087990	LM	hera & luna hl759 col.56 	HERA & LUNA 	294,06	358,7532
203	OPR.153520	61087997	LM	hera & luna hl759 col.60 	HERA & LUNA 	174,72	213,1584
204	OPR.153521	61088004	LM	hera & luna hlf707 col.1 	HERA & LUNA 	205,14	250,2708
205	OPR.154196	61092736	LM	angelo futuro aft751 col.2 	ANGELO FUTURO 	109,2	133,224
206	OPR.154197	61092743	LM	ANGELO FUTURO AFT751 COL.3 	ANGELO FUTURO 	60,06	73,2732
207	OPR.154198	61092750	LM	angelo futuro aft751 col.4 	ANGELO FUTURO 	182,52	222,6744
208	OPR.154199	61092757	LM	angelo futuro aft751 col.6 	ANGELO FUTURO 	233,22	284,5284
209	OPR.154200	61092764	LM	angelo futuro aft754 col.1 	ANGELO FUTURO 	172,38	210,3036
210	OPR.154202	61092778	LM	angelo futuro aft760 col.1 	ANGELO FUTURO 	115,44	140,8368
211	OPR.154203	61092785	LM	angelo futuro aft760 col.2 	ANGELO FUTURO 	221,52	270,2544
212	OPR.154204	61092792	LM	ANGELO FUTURO AFT759 COL.1 	ANGELO FUTURO 	89,7	109,434
213	OPR.154208	61092820	LM	angelo futuro aft761 col.2 	ANGELO FUTURO 	248,04	302,6088
214	OPR.154209	61092827	LM	angelo futuro aft761 col.3 	ANGELO FUTURO 	227,76	277,8672
215	OPR.154241	61093051	LM	HERA & LUNA HL0769 COL.1 	HERA & LUNA 	60,84	74,2248
216	OPR.154242	61093058	LM	HERA & LUNA HL0769 COL.2 	HERA & LUNA 	59,28	72,3216
217	OPR.154243	61093065	LM	hera & luna hl0768 col.1 	HERA & LUNA 	187,98	229,3356
218	OPR.154244	61093072	LM	hera & luna hl0768 col.2 	HERA & LUNA 	239,46	292,1412
219	OPR.154245	61093079	LM	hera & luna hl0767 col.1 	HERA & LUNA 	303,42	370,1724
220	OPR.154246	61093086	LM	hera & luna hl0767 col.2 	HERA & LUNA 	184,08	224,5776
221	OPR.154247	61093093	LM	hera & luna hl0767 col.3 	HERA & LUNA 	222,3	271,206
222	OPR.154248	61093100	LM	hera & luna hl0764 col.1 	HERA & LUNA 	307,32	374,9304
223	OPR.154249	61093107	LM	hera & luna hl0764 col.2 	HERA & LUNA 	177,84	216,9648
224	OPR.155370	61100947	LM	angelo futuro a615 col.56 	ANGELO FUTURO 	219,96	268,3512
225	OPR.155375	61100982	LM	ANGELO FUTURO A628 COL.78 	ANGELO FUTURO 	39	47,58
226	OPR.155376	61100989	LM	angelo futuro a628 col.80 	ANGELO FUTURO 	294,06	358,7532
227	OPR.155380	61101017	LM	angelo futuro a2410 col.8 	ANGELO FUTURO 	158,34	193,1748
228	OPR.155384	61101045	LM	ANGELO FUTURO AF ECRAZY COL.3 	ANGELO FUTURO 	56,16	68,5152
229	OPR.155394	61101115	LM	angelo futuro aft705 col.2 	ANGELO FUTURO 	216,84	264,5448
230	OPR.155395	61101122	LM	angelo futuro aft715 col.1 	ANGELO FUTURO 	166,92	203,6424
231	OPR.155397	61101136	LM	angelo futuro aft751 col.1 	ANGELO FUTURO 	124,02	151,3044
232	OPR.155398	61101143	LM	angelo futuro aft751 col.5 	ANGELO FUTURO 	148,2	180,804
233	OPR.155509	61101920	LM	HERA & LUNA HL0757 COL.56 	HERA & LUNA 	59,28	72,3216
234	OPR.155510	61101927	LM	hera & luna hl0770 col.1 	HERA & LUNA 	212,94	259,7868
235	OPR.155511	61101934	LM	hera & luna hl0770 col.2 	HERA & LUNA 	291,72	355,8984
236	OPR.155512	61101941	LM	HERA & LUNA HL0770 COL.3 	HERA & LUNA 	31,98	39,0156
237	OPR.155517	61101976	LM	hera & luna hl7001 col.2 	HERA & LUNA 	234,78	286,4316
238	OPR.155520	61101997	LM	hera & luna hl-7f01 col.1 	HERA & LUNA 	251,16	306,4152
239	OPR.155524	61102025	LM	hera & luna mrs004 col.2 	HERA & LUNA 	251,94	307,3668
240	OPR.155526	61102039	LM	HERA & LUNA HL0716 COL.1 	HERA & LUNA 	93,6	114,192
241	OPR.155527	61102046	LM	hera & luna hl0716 col.2 	HERA & LUNA 	191,1	233,142
242	OPR.155529	61102060	LM	hera & luna hl0796 col.5 	HERA & LUNA 	170,04	207,4488
243	OPR.155530	61102067	LM	hera & luna hl0796 col.6 	HERA & LUNA 	133,38	162,7236
244	OPR.155531	61102074	LM	hera & luna hl0796 col.7 	HERA & LUNA 	249,6	304,512
245	OPR.155532	61102081	LM	hera & luna hl7006 col.1 	HERA & LUNA 	233,22	284,5284
246	OPR.155533	61102088	LM	HERA & LUNA HL7006 COL.2 	HERA & LUNA 	44,46	54,2412
247	OPR.156153	61106498	LM	HERA & LUNA HL0711 COL.4 	HERA & LUNA 	79,56	97,0632
248	OPR.156156	61106519	LM	HERA & LUNA HL2639-07 COL.4 	HERA & LUNA 	73,32	89,4504
249	OPR.156262	61107555	LM	hera & luna hl2677-07 col.3 	HERA & LUNA 	113,88	138,9336
250	OPR.157413	61120981	LM	angelo futuro af9002 col.1 	ANGELO FUTURO 	125,58	153,2076
251	OPR.157414	61120988	LM	ANGELO FUTURO AF9002 COL.2 	ANGELO FUTURO 	78	95,16
252	OPR.157415	61120995	LM	angelo futuro af9005 col.1 	ANGELO FUTURO 	246,48	300,7056
253	OPR.157416	61121002	LM	ANGELO FUTURO AF9005 COL.2 	ANGELO FUTURO 	52,26	63,7572
254	OPR.157417	61121009	LM	angelo futuro af9009 col.1 	ANGELO FUTURO 	218,4	266,448
255	OPR.157419	61121023	LM	angelo futuro af9010 col.2 	ANGELO FUTURO 	184,08	224,5776
256	OPR.157420	61121079	LM	angelo futuro aft705 col.4 	ANGELO FUTURO 	107,64	131,3208
257	OPR.157422	61121093	LM	angelo futuro aft758 col.1 	ANGELO FUTURO 	294,84	359,7048
258	OPR.157423	61121100	LM	angelo futuro aft758 col.2 	ANGELO FUTURO 	246,48	300,7056
259	OPR.157443	61121296	LM	hera & luna hl7005 col.3 	HERA & LUNA 	116,22	141,7884
260	OPR.157452	61121359	LM	hera & luna hl9006 col.2 	HERA & LUNA 	189,54	231,2388
261	OPR.157492	61121870	LM	hera & luna hl708 col.4 	HERA & LUNA 	184,86	225,5292
262	OPR.157572	61122570	LM	angelo futuro af9009 col.2 	ANGELO FUTURO 	291,72	355,8984
263	OPR.157715	61124831	LM	ANGELO FUTURO A608 COL.11 	ANGELO FUTURO 	71,76	87,5472
264	OPR.157717	61124845	LM	ANGELO FUTURO A617 COL.3 	ANGELO FUTURO 	97,5	118,95
265	OPR.157726	61124908	LM	ANGELO FUTURO AF0012 COL.4 	ANGELO FUTURO 	63,96	78,0312
266	OPR.157727	61124915	LM	angelo futuro af0012 col.5 	ANGELO FUTURO 	264,42	322,5924
267	OPR.158232	61129836	LM	ANGELO FUTURO AF9007 COL.1 	ANGELO FUTURO 	74,88	91,3536
268	OPR.158233	61129843	LM	angelo futuro af9007 col.2 	ANGELO FUTURO 	134,16	163,6752
269	OPR.158581	61132559	LM	angelo futuro aft790 col.1 	ANGELO FUTURO 	148,98	181,7556
270	OPR.158582	61132566	LM	ANGELO FUTURO AFT790 COL.2 	ANGELO FUTURO 	46,8	57,096
