Agent First and Last Activity									
Date Time Range: 2015-08-01 - 2015-11-03									
									
Activity Time Range:	NA								
									
Site ID Range:	NA								
									
Agents /Workgroups:	NA								
									
									
									
	Data		Agent ID		Czas zalogowania		Czas wylogowania		IloϾ sprzedanych polis
			5265		14:04:41		21:57:10		10
									
			2806		12:37:48		21:00:12		13
									
			1072		07:38:03		14:00:07		4
									
			1314		08:15:18		14:01:23		3
									
									
									
							Print Date: 5 listopad 2015  12:21:56		
									
									
									
	2015-08-05								
									
			1257		09:49:03		18:08:08		8
									
			4567		09:57:20		18:00:12		9
									
			2910		09:43:47		18:00:48		3
									
			4778		09:57:36		18:00:39		10
									
			3948		09:51:14		18:00:48		7
									
			3898		09:58:18		18:00:34		0
									
			4348		09:45:07		18:01:40		9
									
									
									
							Print Date: 5 listopad 2015  12:21:56		
									
									
									
	2015-08-06								
									
			5279		09:59:37		18:00:17		11
									
			1570		10:10:15		18:00:10		1
									
			1567		10:09:29		18:00:31		5
									
			3329		10:04:07		18:00:14		2
									
			3830		09:22:13		17:59:29		11
									
									
									
							Print Date: 5 listopad 2015  12:21:56		
									
									
									
	2015-08-07								
									
			4102		13:41:42		22:00:07		16
									
			2518		07:56:01		16:00:42		3
									
			2081		11:57:34		20:02:47		13
									
			4016		13:59:59		22:00:04		5
									
			3105		08:01:44		14:00:16		10
									
			4329		06:17:28		15:00:48		3
									
			1896		07:36:26		15:00:10		12
									
			4999		11:29:20		20:00:37		7
									
			1540		07:35:14		16:01:59		4
									
			5073		07:59:36		16:09:05		10
									
			1622		07:48:58		16:01:43		11
									
			2494		07:59:29		16:00:11		6
									
			4692		09:45:53		16:00:45		8
									
			2969		07:40:52		17:07:20		9
									
			1515		07:45:50		14:00:07		2
									
			5137		14:06:10		22:00:24		2
									
			4096		13:49:48		22:00:04		2
									
			4474		07:44:58		16:00:20		13
									
			5207		14:03:28		22:04:32		15
									
			5075		09:34:22		18:37:07		14
									
			4800		07:57:37		14:02:16		9
									
			3508		14:02:23		22:00:03		7
									
			1540		07:34:48		16:01:00		7
									
			1786		12:47:32		21:59:34		9
									
			4679		15:50:21		22:00:19		7
									
			1205		13:58:05		22:00:08		14
									
									
									
							Print Date: 5 listopad 2015  12:21:56		
									
									
									
	2015-08-08								
									
			2480		07:51:46		14:00:05		7
									
			2915		09:33:03		17:58:18		3
									
			1030		07:57:42		16:00:06		0
									
			3381		12:50:20		20:01:03		0
									
			4920		13:58:02		21:59:23		11
									
			2983		07:52:06		14:00:04		11
									
			1910		08:00:29		14:00:06		5
									
			1266		06:17:57		15:02:04		8
									
			2369		09:26:18		18:02:41		12
									
			3511		11:16:58		20:00:23		15
									
			2626		07:20:56		15:59:45		16
									
			2290		07:43:43		14:01:12		12
									
			3584		07:51:51		16:03:00		14
									
			3110		07:53:32		16:00:32		11
									
			1727		07:47:42		14:02:26		1
									
			1486		07:48:27		14:00:05		0
									
			2610		13:54:53		21:42:44		15
									
			2855		07:51:03		16:00:13		13
									
			1548		13:17:37		21:45:29		10
									
			2279		14:02:38		21:59:58		12
									
			2079		14:02:57		21:00:14		7
									
			1201		14:04:20		21:43:42		0
									
			5265		14:04:41		21:57:10		15
									
			2806		12:37:48		21:00:12		1
									
			1072		07:38:03		14:00:07		8
									
			1314		08:15:18		14:01:23		5
									
									
									
							Print Date: 5 listopad 2015  12:21:56		
									
									
									
	2015-08-09								
									
			1257		09:49:03		18:08:08		4
									
			4567		09:57:20		18:00:12		11
									
			2910		09:43:47		18:00:48		8
									
			4778		09:57:36		18:00:39		12
									
			3948		09:51:14		18:00:48		16
									
			3898		09:58:18		18:00:34		10
									
			4348		09:45:07		18:01:40		3
									
									
									
							Print Date: 5 listopad 2015  12:21:56		
									
									
									
	2015-08-10								
									
			5279		09:59:37		18:00:17		15
									
			1570		10:10:15		18:00:10		11
									
			1567		10:09:29		18:00:31		3
									
			3329		10:04:07		18:00:14		11
									
			3830		09:22:13		17:59:29		8
									
									
									
							Print Date: 5 listopad 2015  12:21:56		
									
									
									
	2015-08-11								
									
			4102		13:41:42		22:00:07		8
									
			2518		07:56:01		16:00:42		6
									
			2081		11:57:34		20:02:47		5
									
			4016		13:59:59		22:00:04		9
									
			3105		08:01:44		14:00:16		4
									
			4329		06:17:28		15:00:48		3
									
			1896		07:36:26		15:00:10		14
									
			4999		11:29:20		20:00:37		16
									
			1540		07:35:14		16:01:59		1
									
			5073		07:59:36		16:09:05		2
									
			1622		07:48:58		16:01:43		9
									
			2494		07:59:29		16:00:11		7
									
			4692		09:45:53		16:00:45		4
									
			2969		07:40:52		17:07:20		12
									
			1515		07:45:50		14:00:07		5
									
			5137		14:06:10		22:00:24		7
									
			4096		13:49:48		22:00:04		5
									
			4474		07:44:58		16:00:20		16
									
			5207		14:03:28		22:04:32		2
									
			5075		09:34:22		18:37:07		15
									
			4800		07:57:37		14:02:16		3
									
			3508		14:02:23		22:00:03		3
									
			1540		07:34:48		16:01:00		8
									
			1786		12:47:32		21:59:34		6
									
			4679		15:50:21		22:00:19		5
									
			1205		13:58:05		22:00:08		5
									
									
									
							Print Date: 5 listopad 2015  12:21:56		
									
									
									
	2015-08-12								
									
			2480		07:51:46		14:00:05		4
									
			2915		09:33:03		17:58:18		13
									
			1030		07:57:42		16:00:06		8
									
			3381		12:50:20		20:01:03		11
									
			4920		13:58:02		21:59:23		9
									
			2983		07:52:06		14:00:04		9
									
			1910		08:00:29		14:00:06		2
									
			1266		06:17:57		15:02:04		14
									
			2369		09:26:18		18:02:41		12
									
			3511		11:16:58		20:00:23		5
									
			2626		07:20:56		15:59:45		1
									
			2290		07:43:43		14:01:12		10
									
			3584		07:51:51		16:03:00		8
									
			3110		07:53:32		16:00:32		11
									
			1727		07:47:42		14:02:26		4
									
			1486		07:48:27		14:00:05		11
									
			2610		13:54:53		21:42:44		11
									
			2855		07:51:03		16:00:13		3
									
			1548		13:17:37		21:45:29		6
									
			2279		14:02:38		21:59:58		8
									
			2079		14:02:57		21:00:14		6
									
			1201		14:04:20		21:43:42		13
									
			5265		14:04:41		21:57:10		7
									
			2806		12:37:48		21:00:12		15
									
			1072		07:38:03		14:00:07		10
									
			1314		08:15:18		14:01:23		4
									
									
									
							Print Date: 5 listopad 2015  12:21:56		
									
									
									
	2015-08-13								
									
			1257		09:49:03		18:08:08		12
									
			4567		09:57:20		18:00:12		4
									
			2910		09:43:47		18:00:48		4
									
			4778		09:57:36		18:00:39		15
									
			3948		09:51:14		18:00:48		12
									
			3898		09:58:18		18:00:34		11
									
			4348		09:45:07		18:01:40		3
									
									
									
							Print Date: 5 listopad 2015  12:21:56		
									
									
									
	2015-08-14								
									
			5279		09:59:37		18:00:17		6
									
			1570		10:10:15		18:00:10		7
									
			1567		10:09:29		18:00:31		6
									
			3329		10:04:07		18:00:14		7
									
			3830		09:22:13		17:59:29		16
									
									
									
							Print Date: 5 listopad 2015  12:21:56		
									
									
									
	2015-08-15								
									
			4102		13:41:42		22:00:07		3
									
			2518		07:56:01		16:00:42		5
									
			2081		11:57:34		20:02:47		8
									
			4016		13:59:59		22:00:04		2
									
			3105		08:01:44		14:00:16		5
									
			4329		06:17:28		15:00:48		7
									
			1896		07:36:26		15:00:10		10
									
			4999		11:29:20		20:00:37		2
									
			1540		07:35:14		16:01:59		5
									
			5073		07:59:36		16:09:05		12
									
			1622		07:48:58		16:01:43		7
									
			2494		07:59:29		16:00:11		6
									
			4692		09:45:53		16:00:45		3
									
			2969		07:40:52		17:07:20		15
									
			1515		07:45:50		14:00:07		2
									
			5137		14:06:10		22:00:24		12
									
			4096		13:49:48		22:00:04		7
									
			4474		07:44:58		16:00:20		15
									
			5207		14:03:28		22:04:32		12
									
			5075		09:34:22		18:37:07		14
									
			4800		07:57:37		14:02:16		7
									
			3508		14:02:23		22:00:03		7
									
			1540		07:34:48		16:01:00		5
									
			1786		12:47:32		21:59:34		7
									
			4679		15:50:21		22:00:19		8
									
			1205		13:58:05		22:00:08		3
									
									
									
							Print Date: 5 listopad 2015  12:21:56		
									
									
									
	2015-08-16								
									
			2480		07:51:46		14:00:05		1
									
			2915		09:33:03		17:58:18		5
									
			1030		07:57:42		16:00:06		3
									
			3381		12:50:20		20:01:03		1
									
			4920		13:58:02		21:59:23		13
									
			2983		07:52:06		14:00:04		0
									
			1910		08:00:29		14:00:06		7
									
			1266		06:17:57		15:02:04		3
									
			2369		09:26:18		18:02:41		15
									
			3511		11:16:58		20:00:23		3
									
			2626		07:20:56		15:59:45		13
									
			2290		07:43:43		14:01:12		0
									
			3584		07:51:51		16:03:00		11
									
			3110		07:53:32		16:00:32		7
									
			1727		07:47:42		14:02:26		8
									
			1486		07:48:27		14:00:05		12
									
			2610		13:54:53		21:42:44		10
									
			2855		07:51:03		16:00:13		14
									
			1548		13:17:37		21:45:29		12
									
			2279		14:02:38		21:59:58		9
									
			2079		14:02:57		21:00:14		3
									
			1201		14:04:20		21:43:42		6
									
			5265		14:04:41		21:57:10		1
									
			2806		12:37:48		21:00:12		8
									
			1072		07:38:03		14:00:07		0
									
			1314		08:15:18		14:01:23		3
									
									
									
							Print Date: 5 listopad 2015  12:21:56		
									
									
									
	2015-08-17								
									
			1257		09:49:03		18:08:08		3
									
			4567		09:57:20		18:00:12		7
									
			2910		09:43:47		18:00:48		5
									
			4778		09:57:36		18:00:39		14
									
			3948		09:51:14		18:00:48		13
									
			3898		09:58:18		18:00:34		13
									
			4348		09:45:07		18:01:40		14
									
									
									
							Print Date: 5 listopad 2015  12:21:56		
									
									
									
	2015-08-18								
									
			5279		09:59:37		18:00:17		1
									
			1570		10:10:15		18:00:10		4
									
			1567		10:09:29		18:00:31		3
									
			3329		10:04:07		18:00:14		13
									
			3830		09:22:13		17:59:29		7
									
									
									
							Print Date: 5 listopad 2015  12:21:56		
									
									
									
	2015-08-19								
									
			4102		13:41:42		22:00:07		16
									
			2518		07:56:01		16:00:42		13
									
			2081		11:57:34		20:02:47		14
									
			4016		13:59:59		22:00:04		3
									
			3105		08:01:44		14:00:16		11
									
			4329		06:17:28		15:00:48		14
									
			1896		07:36:26		15:00:10		9
									
			4999		11:29:20		20:00:37		12
									
			1540		07:35:14		16:01:59		12
									
			5073		07:59:36		16:09:05		14
									
			1622		07:48:58		16:01:43		7
									
			2494		07:59:29		16:00:11		12
									
			4692		09:45:53		16:00:45		8
									
			2969		07:40:52		17:07:20		5
									
			1515		07:45:50		14:00:07		2
									
			5137		14:06:10		22:00:24		15
									
			4096		13:49:48		22:00:04		6
									
			4474		07:44:58		16:00:20		8
									
			5207		14:03:28		22:04:32		11
									
			5075		09:34:22		18:37:07		15
									
			4800		07:57:37		14:02:16		0
									
			3508		14:02:23		22:00:03		8
									
			1540		07:34:48		16:01:00		5
									
			1786		12:47:32		21:59:34		10
									
			4679		15:50:21		22:00:19		3
									
			1205		13:58:05		22:00:08		4
									
									
									
							Print Date: 5 listopad 2015  12:21:56		
									
									
									
	2015-08-20								
									
			2480		07:51:46		14:00:05		10
									
			2915		09:33:03		17:58:18		11
									
			1030		07:57:42		16:00:06		11
									
			3381		12:50:20		20:01:03		11
									
			4920		13:58:02		21:59:23		8
									
			2983		07:52:06		14:00:04		1
									
			1910		08:00:29		14:00:06		2
									
			1266		06:17:57		15:02:04		7
									
			2369		09:26:18		18:02:41		3
									
			3511		11:16:58		20:00:23		4
									
			2626		07:20:56		15:59:45		14
									
			2290		07:43:43		14:01:12		9
									
			3584		07:51:51		16:03:00		5
									
			3110		07:53:32		16:00:32		4
									
			1727		07:47:42		14:02:26		7
									
			1486		07:48:27		14:00:05		4
									
			2610		13:54:53		21:42:44		3
									
			2855		07:51:03		16:00:13		9
									
			1548		13:17:37		21:45:29		5
									
			2279		14:02:38		21:59:58		10
									
			2079		14:02:57		21:00:14		4
									
			1201		14:04:20		21:43:42		8
									
			5265		14:04:41		21:57:10		5
									
			2806		12:37:48		21:00:12		8
									
			1072		07:38:03		14:00:07		6
									
			1314		08:15:18		14:01:23		5
									
									
									
							Print Date: 5 listopad 2015  12:21:56		
									
									
									
	2015-08-21								
									
			1257		09:49:03		18:08:08		15
									
			4567		09:57:20		18:00:12		0
									
			2910		09:43:47		18:00:48		7
									
			4778		09:57:36		18:00:39		7
									
			3948		09:51:14		18:00:48		13
									
			3898		09:58:18		18:00:34		16
									
			4348		09:45:07		18:01:40		3
									
									
									
							Print Date: 5 listopad 2015  12:21:56		
									
									
									
	2015-08-22								
									
			5279		09:59:37		18:00:17		14
									
			1570		10:10:15		18:00:10		6
									
			1567		10:09:29		18:00:31		6
									
			3329		10:04:07		18:00:14		13
									
			3830		09:22:13		17:59:29		4
									
									
									
							Print Date: 5 listopad 2015  12:21:56		
									
									
									
	2015-08-23								
									
			4102		13:41:42		22:00:07		0
									
			2518		07:56:01		16:00:42		6
									
			2081		11:57:34		20:02:47		13
									
			4016		13:59:59		22:00:04		9
									
			3105		08:01:44		14:00:16		1
									
			4329		06:17:28		15:00:48		1
									
			1896		07:36:26		15:00:10		4
									
			4999		11:29:20		20:00:37		1
									
			1540		07:35:14		16:01:59		1
									
			5073		07:59:36		16:09:05		3
									
			1622		07:48:58		16:01:43		3
									
			2494		07:59:29		16:00:11		15
									
			4692		09:45:53		16:00:45		5
									
			2969		07:40:52		17:07:20		0
									
			1515		07:45:50		14:00:07		6
									
			5137		14:06:10		22:00:24		4
									
			4096		13:49:48		22:00:04		1
									
			4474		07:44:58		16:00:20		5
									
			5207		14:03:28		22:04:32		0
									
			5075		09:34:22		18:37:07		0
									
			4800		07:57:37		14:02:16		10
									
			3508		14:02:23		22:00:03		8
									
			1540		07:34:48		16:01:00		11
									
			1786		12:47:32		21:59:34		8
									
			4679		15:50:21		22:00:19		10
									
			1205		13:58:05		22:00:08		10
									
									
									
							Print Date: 5 listopad 2015  12:21:56		
									
									
									
	2015-08-24								
									
			2480		07:51:46		14:00:05		5
									
			2915		09:33:03		17:58:18		6
									
			1030		07:57:42		16:00:06		6
									
			3381		12:50:20		20:01:03		2
									
			4920		13:58:02		21:59:23		3
									
			2983		07:52:06		14:00:04		6
									
			1910		08:00:29		14:00:06		1
									
			1266		06:17:57		15:02:04		14
									
			2369		09:26:18		18:02:41		4
									
			3511		11:16:58		20:00:23		17
									
			2626		07:20:56		15:59:45		13
									
			2290		07:43:43		14:01:12		1
									
			3584		07:51:51		16:03:00		4
									
			3110		07:53:32		16:00:32		9
									
			1727		07:47:42		14:02:26		12
									
			1486		07:48:27		14:00:05		5
									
			2610		13:54:53		21:42:44		8
									
			2855		07:51:03		16:00:13		9
									
			1548		13:17:37		21:45:29		6
									
			2279		14:02:38		21:59:58		8
									
			2079		14:02:57		21:00:14		8
									
			1201		14:04:20		21:43:42		11
									
			5265		14:04:41		21:57:10		0
									
			2806		12:37:48		21:00:12		5
									
			1072		07:38:03		14:00:07		3
									
			1314		08:15:18		14:01:23		7
									
									
									
							Print Date: 5 listopad 2015  12:21:56		
									
									
									
	2015-08-25								
									
			1257		09:49:03		18:08:08		12
									
			4567		09:57:20		18:00:12		14
									
			2910		09:43:47		18:00:48		2
									
			4778		09:57:36		18:00:39		11
									
			3948		09:51:14		18:00:48		6
									
			3898		09:58:18		18:00:34		3
									
			4348		09:45:07		18:01:40		14
									
									
									
							Print Date: 5 listopad 2015  12:21:56		
									
									
									
	2015-08-26								
									
			5279		09:59:37		18:00:17		9
									
			1570		10:10:15		18:00:10		12
									
			1567		10:09:29		18:00:31		6
									
			3329		10:04:07		18:00:14		13
									
			3830		09:22:13		17:59:29		1
									
									
									
							Print Date: 5 listopad 2015  12:21:56		
									
									
									
	2015-08-27								
									
			4102		13:41:42		22:00:07		13
									
			2518		07:56:01		16:00:42		10
									
			2081		11:57:34		20:02:47		5
									
			4016		13:59:59		22:00:04		4
									
			3105		08:01:44		14:00:16		0
									
			4329		06:17:28		15:00:48		3
									
			1896		07:36:26		15:00:10		10
									
			4999		11:29:20		20:00:37		4
									
			1540		07:35:14		16:01:59		6
									
			5073		07:59:36		16:09:05		3
									
			1622		07:48:58		16:01:43		12
									
			2494		07:59:29		16:00:11		2
									
			4692		09:45:53		16:00:45		0
									
			2969		07:40:52		17:07:20		7
									
			1515		07:45:50		14:00:07		4
									
			5137		14:06:10		22:00:24		3
									
			4096		13:49:48		22:00:04		1
									
			4474		07:44:58		16:00:20		2
									
			5207		14:03:28		22:04:32		0
									
			5075		09:34:22		18:37:07		1
									
			4800		07:57:37		14:02:16		7
									
			3508		14:02:23		22:00:03		15
									
			1540		07:34:48		16:01:00		5
									
			1786		12:47:32		21:59:34		7
									
			4679		15:50:21		22:00:19		11
									
			1205		13:58:05		22:00:08		12
									
									
									
							Print Date: 5 listopad 2015  12:21:56		
									
									
									
	2015-08-28								
									
			2480		07:51:46		14:00:05		0
									
			2915		09:33:03		17:58:18		6
									
			1030		07:57:42		16:00:06		6
									
			3381		12:50:20		20:01:03		12
									
			4920		13:58:02		21:59:23		12
									
			2983		07:52:06		14:00:04		11
									
			1910		08:00:29		14:00:06		5
									
			1266		06:17:57		15:02:04		1
									
			2369		09:26:18		18:02:41		7
									
			3511		11:16:58		20:00:23		10
									
			2626		07:20:56		15:59:45		14
									
			2290		07:43:43		14:01:12		1
									
			3584		07:51:51		16:03:00		9
									
			3110		07:53:32		16:00:32		15
									
			1727		07:47:42		14:02:26		10
									
			1486		07:48:27		14:00:05		4
									
			2610		13:54:53		21:42:44		1
									
			2855		07:51:03		16:00:13		10
									
			1548		13:17:37		21:45:29		14
									
			2279		14:02:38		21:59:58		0
									
			2079		14:02:57		21:00:14		0
									
			1201		14:04:20		21:43:42		0
									
			5265		14:04:41		21:57:10		1
									
			2806		12:37:48		21:00:12		3
									
			1072		07:38:03		14:00:07		11
									
			1314		08:15:18		14:01:23		5
									
									
									
							Print Date: 5 listopad 2015  12:21:56		
									
									
									
	2015-08-29								
									
			1257		09:49:03		18:08:08		4
									
			4567		09:57:20		18:00:12		7
									
			2910		09:43:47		18:00:48		8
									
			4778		09:57:36		18:00:39		13
									
			3948		09:51:14		18:00:48		5
									
			3898		09:58:18		18:00:34		15
									
			4348		09:45:07		18:01:40		3
									
									
									
							Print Date: 5 listopad 2015  12:21:56		
									
									
									
	2015-08-30								
									
			5279		09:59:37		18:00:17		10
									
			1570		10:10:15		18:00:10		12
									
			1567		10:09:29		18:00:31		3
									
			3329		10:04:07		18:00:14		4
									
			3830		09:22:13		17:59:29		8
									
									
									
							Print Date: 5 listopad 2015  12:21:56		
									
									
									
	2015-08-31								
									
			4102		13:41:42		22:00:07		16
									
			2518		07:56:01		16:00:42		10
									
			2081		11:57:34		20:02:47		14
									
			4016		13:59:59		22:00:04		7
									
			3105		08:01:44		14:00:16		3
									
			4329		06:17:28		15:00:48		3
									
			1896		07:36:26		15:00:10		2
									
			4999		11:29:20		20:00:37		7
									
			1540		07:35:14		16:01:59		2
									
			5073		07:59:36		16:09:05		6
									
			1622		07:48:58		16:01:43		16
									
			2494		07:59:29		16:00:11		9
									
			4692		09:45:53		16:00:45		5
									
			2969		07:40:52		17:07:20		15
									
			1515		07:45:50		14:00:07		1
									
			5137		14:06:10		22:00:24		13
									
			4096		13:49:48		22:00:04		2
									
			4474		07:44:58		16:00:20		9
									
			5207		14:03:28		22:04:32		12
									
			5075		09:34:22		18:37:07		2
									
			4800		07:57:37		14:02:16		4
									
			3508		14:02:23		22:00:03		1
									
			1540		07:34:48		16:01:00		13
									
			1786		12:47:32		21:59:34		15
									
			4679		15:50:21		22:00:19		11
									
			1205		13:58:05		22:00:08		13
									
									
									
							Print Date: 5 listopad 2015  12:21:56		
									
									
									
	2015-09-01								
									
			2480		07:51:46		14:00:05		9
									
			2915		09:33:03		17:58:18		11
									
			1030		07:57:42		16:00:06		0
									
			3381		12:50:20		20:01:03		2
									
			4920		13:58:02		21:59:23		3
									
			2983		07:52:06		14:00:04		8
									
			1910		08:00:29		14:00:06		6
									
			1266		06:17:57		15:02:04		3
									
			2369		09:26:18		18:02:41		6
									
			3511		11:16:58		20:00:23		9
									
			2626		07:20:56		15:59:45		2
									
			2290		07:43:43		14:01:12		2
									
			3584		07:51:51		16:03:00		9
									
			3110		07:53:32		16:00:32		1
									
			1727		07:47:42		14:02:26		12
									
			1486		07:48:27		14:00:05		6
									
			2610		13:54:53		21:42:44		2
									
			2855		07:51:03		16:00:13		11
									
			1548		13:17:37		21:45:29		2
									
			2279		14:02:38		21:59:58		2
									
			2079		14:02:57		21:00:14		10
									
			1201		14:04:20		21:43:42		10
									
			5265		14:04:41		21:57:10		12
									
			2806		12:37:48		21:00:12		0
									
			1072		07:38:03		14:00:07		0
									
			1314		08:15:18		14:01:23		10
									
									
									
							Print Date: 5 listopad 2015  12:21:56		
									
									
									
	2015-09-02								
									
			1257		09:49:03		18:08:08		7
									
			4567		09:57:20		18:00:12		1
									
			2910		09:43:47		18:00:48		13
									
			4778		09:57:36		18:00:39		0
									
			3948		09:51:14		18:00:48		6
									
			3898		09:58:18		18:00:34		11
									
			4348		09:45:07		18:01:40		2
									
									
									
							Print Date: 5 listopad 2015  12:21:56		
									
									
									
	2015-09-03								
									
			5279		09:59:37		18:00:17		9
									
			1570		10:10:15		18:00:10		8
									
			1567		10:09:29		18:00:31		3
									
			3329		10:04:07		18:00:14		6
									
			3830		09:22:13		17:59:29		6
									
									
									
							Print Date: 5 listopad 2015  12:21:56		
									
									
									
	2015-09-04								
									
			4102		13:41:42		22:00:07		2
									
			2518		07:56:01		16:00:42		3
									
			2081		11:57:34		20:02:47		14
									
			4016		13:59:59		22:00:04		0
									
			3105		08:01:44		14:00:16		2
									
			4329		06:17:28		15:00:48		9
									
			1896		07:36:26		15:00:10		11
									
			4999		11:29:20		20:00:37		4
									
			1540		07:35:14		16:01:59		10
									
			5073		07:59:36		16:09:05		1
									
			1622		07:48:58		16:01:43		15
									
			2494		07:59:29		16:00:11		8
									
			4692		09:45:53		16:00:45		2
									
			2969		07:40:52		17:07:20		9
									
			1515		07:45:50		14:00:07		0
									
			5137		14:06:10		22:00:24		2
									
			4096		13:49:48		22:00:04		10
									
			4474		07:44:58		16:00:20		8
									
			5207		14:03:28		22:04:32		2
									
			5075		09:34:22		18:37:07		8
									
			4800		07:57:37		14:02:16		2
									
			3508		14:02:23		22:00:03		12
									
			1540		07:34:48		16:01:00		4
									
			1786		12:47:32		21:59:34		1
									
			4679		15:50:21		22:00:19		9
									
			1205		13:58:05		22:00:08		13
									
									
									
							Print Date: 5 listopad 2015  12:21:56		
									
									
									
	2015-09-05								
									
			2480		07:51:46		14:00:05		1
									
			2915		09:33:03		17:58:18		6
									
			1030		07:57:42		16:00:06		15
									
			3381		12:50:20		20:01:03		5
									
			4920		13:58:02		21:59:23		8
									
			2983		07:52:06		14:00:04		3
									
			1910		08:00:29		14:00:06		4
									
			1266		06:17:57		15:02:04		16
									
			2369		09:26:18		18:02:41		4
									
			3511		11:16:58		20:00:23		8
									
			2626		07:20:56		15:59:45		12
									
			2290		07:43:43		14:01:12		0
									
			3584		07:51:51		16:03:00		15
									
			3110		07:53:32		16:00:32		5
									
			1727		07:47:42		14:02:26		1
									
			1486		07:48:27		14:00:05		4
									
			2610		13:54:53		21:42:44		13
									
			2855		07:51:03		16:00:13		0
									
			1548		13:17:37		21:45:29		10
									
			2279		14:02:38		21:59:58		14
									
			2079		14:02:57		21:00:14		9
									
			1201		14:04:20		21:43:42		2
									
			5265		14:04:41		21:57:10		1
									
			2806		12:37:48		21:00:12		7
									
			1072		07:38:03		14:00:07		5
									
			1314		08:15:18		14:01:23		10
									
									
									
							Print Date: 5 listopad 2015  12:21:56		
									
									
									
	2015-09-06								
									
			1257		09:49:03		18:08:08		5
									
			4567		09:57:20		18:00:12		8
									
			2910		09:43:47		18:00:48		7
									
			4778		09:57:36		18:00:39		1
									
			3948		09:51:14		18:00:48		11
									
			3898		09:58:18		18:00:34		4
									
			4348		09:45:07		18:01:40		13
									
									
									
							Print Date: 5 listopad 2015  12:21:56		
									
									
									
	2015-09-07								
									
			5279		09:59:37		18:00:17		0
									
			1570		10:10:15		18:00:10		4
									
			1567		10:09:29		18:00:31		5
									
			3329		10:04:07		18:00:14		2
									
			3830		09:22:13		17:59:29		3
									
									
									
							Print Date: 5 listopad 2015  12:21:56		
									
									
									
	2015-09-08								
									
			4102		13:41:42		22:00:07		12
									
			2518		07:56:01		16:00:42		11
									
			2081		11:57:34		20:02:47		10
									
			4016		13:59:59		22:00:04		13
									
			3105		08:01:44		14:00:16		0
									
			4329		06:17:28		15:00:48		4
									
			1896		07:36:26		15:00:10		12
									
			4999		11:29:20		20:00:37		9
									
			1540		07:35:14		16:01:59		15
									
			5073		07:59:36		16:09:05		8
									
			1622		07:48:58		16:01:43		2
									
			2494		07:59:29		16:00:11		2
									
			4692		09:45:53		16:00:45		0
									
			2969		07:40:52		17:07:20		5
									
